SK_ID_CURR,TARGET
100001,0.06404822253658347
100005,0.2470733756515024
100013,0.03881620138292143
100028,0.03991636441135405
100038,0.09810671183321522
100042,0.03483449465212058
100057,0.02808387453321573
100065,0.11233860054271044
100066,0.01895416213989884
100067,0.09620892845037435
100074,0.05706726814769167
100090,0.1137587452362678
100091,0.13805118386972925
100092,0.0854042956795959
100106,0.09434055196583842
100107,0.10383762404944268
100109,0.0764561997844935
100117,0.033866987000116464
100128,0.06946289002536864
100141,0.06049022198216713
100150,0.031832658002737976
100168,0.010912388561656595
100169,0.07080893946808403
100170,0.0960987054538812
100171,0.04727192198472902
100172,0.12655130184848004
100184,0.0952150676702332
100187,0.06722959845255361
100212,0.043389954617026175
100222,0.0833042804317878
100223,0.014641895150430009
100232,0.01980842664225617
100241,0.16122669569895035
100245,0.01780840157409656
100253,0.022334896643812496
100256,0.13118008178578872
100271,0.012389781325410581
100278,0.2573165940025575
100280,0.026809209151923443
100306,0.185432670574046
100311,0.17485931420920894
100312,0.02582644612535273
100330,0.06204813938186277
100331,0.05441154168711466
100352,0.08899766438729775
100358,0.16287484810012667
100367,0.04110287233978499
100382,0.14602113318107418
100384,0.07069429385110071
100385,0.12606361604021743
100386,0.04951802415339039
100399,0.038971022749994595
100404,0.10253032366943662
100416,0.02003375068080505
100422,0.11298261451465633
100426,0.04227899032794298
100438,0.047050524660277204
100444,0.1773213969981005
100445,0.11604689951099179
100446,0.08272623538994639
100447,0.028895364033281957
100450,0.05173553045114037
100466,0.036019905407158506
100483,0.0267234634653647
100484,0.02868814313539841
100494,0.07394247988952543
100510,0.16185157809426517
100512,0.03360785200711337
100517,0.03987939514406364
100548,0.049192613001052515
100551,0.07140082602879892
100552,0.11275444302383532
100553,0.02554916427151338
100561,0.175129049386567
100568,0.4739805819778221
100569,0.04109482294053234
100591,0.04715508782134053
100592,0.02285124105695442
100602,0.04748021807212599
100607,0.0549732863354074
100613,0.07971150203449263
100617,0.09349292803990589
100618,0.10676502747000464
100622,0.23438232004031018
100625,0.0710047521798499
100677,0.09898070381866722
100699,0.06528870405401174
100702,0.49343971629742617
100711,0.10676711008721539
100729,0.17613474717149097
100740,0.12856240498373062
100744,0.12224114372812611
100745,0.040970336764176156
100747,0.19482701474368974
100751,0.2194106011931696
100752,0.03760745848466084
100753,0.31959199003992683
100754,0.2134919341183015
100760,0.058416513602008974
100762,0.07758828737157965
100763,0.0617703414010716
100765,0.03711775143205961
100770,0.11833935920216965
100772,0.027743041593166425
100777,0.03743208386376058
100791,0.02553973097314975
100792,0.014422970288719465
100797,0.02815975957082023
100823,0.04173569962554662
100826,0.051549014634655645
100830,0.031033786169774764
100836,0.3736412714655256
100872,0.043298068791799184
100910,0.06977355470424262
100913,0.11025955052996231
100918,0.052983005694051725
100931,0.025067679618864854
100952,0.0719740550357281
100953,0.043304457066303564
100965,0.16315014598854896
100970,0.049237459833914456
100982,0.17050663678359496
